Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking,Anisotropy degree
67,2.01,1.98,1.48834,-0.580309 -15.8779 0,0,0,0.0413663,1.50421,0.454602,0.553509,0.0598516,1.12453,0.827619,10.9783,0,0.0464101,33.9611,30.2704,2.33084
68,2.04,2.01,1.56023,-0.583001 -15.9732 0,0,0,0.0424699,1.54497,0.458065,0.561873,0.0596312,1.12678,0.833003,11.01,0,0.0444752,34.1333,30.4673,2.33362
69,2.07,2.04,1.63604,-0.586598 -16.0723 0,0,0,0.0435246,1.58206,0.461503,0.569677,0.0594156,1.12867,0.83814,11.0374,0,0.0432252,34.3576,30.6725,2.3376
70,2.1,2.07,1.71624,-0.591035 -16.1752 0,0,0,0.044523,1.61587,0.464945,0.576909,0.0592133,1.13046,0.843195,11.0606,0,0.0420837,34.6005,30.8968,2.34212
71,2.13,2.1,1.80182,-0.596069 -16.2818 0,0,0,0.0454744,1.64706,0.468413,0.583552,0.0590288,1.13207,0.848366,11.0805,0,0.0411919,34.8112,31.1314,2.3471
72,2.16,2.13,1.89195,-0.601341 -16.3921 0,0,0,0.0463734,1.676,0.471909,0.589601,0.058867,1.1333,0.853716,11.1002,0,0.0406913,34.9845,31.3582,2.35159
73,2.19,2.16,1.9859,-0.606552 -16.506 0,0,0,0.0472173,1.7026,0.475429,0.595065,0.0587283,1.13414,0.858949,11.1208,0,0.039994,35.1553,31.5634,2.35556
74,2.22,2.19,2.08373,-0.611527 -16.6235 0,0,0,0.0480121,1.72761,0.478969,0.599982,0.0586024,1.13486,0.86399,11.1429,0,0.0384402,35.3703,31.7547,2.36085
75,2.25,2.22,2.18556,-0.616204 -16.7445 0,0,0,0.0487601,1.7516,0.482529,0.604401,0.0584758,1.13587,0.868886,11.1638,0,0.0360032,35.6476,31.9493,2.36616
76,2.28,2.25,2.29052,-0.620591 -16.8688 0,0,0,0.0494675,1.77549,0.486108,0.608359,0.0583356,1.13732,0.873638,11.1812,0,0.0328503,35.9417,32.1648,2.37241
77,2.31,2.28,2.39833,-0.624753 -16.9964 0,0,0,0.0501427,1.79969,0.489702,0.611885,0.058179,1.13899,0.878466,11.1947,0,0.0302257,36.1985,32.4072,2.37874
78,2.34,2.31,2.50869,-0.62873 -17.127 0,0,0,0.0507781,1.82403,0.4933,0.615026,0.0580171,1.14049,0.883618,11.2054,0,0.0286056,36.4056,32.6573,2.38504
79,2.37,2.34,2.62103,-0.632549 -17.2606 0,0,0,0.0513719,1.84832,0.496888,0.617852,0.0578597,1.14162,0.888932,11.2151,0,0.0274547,36.5751,32.8883,2.39137
80,2.4,2.37,2.73455,-0.636255 -17.397 0,0,0,0.0519192,1.87241,0.500444,0.620436,0.0577099,1.14237,0.894209,11.2262,0,0.0263177,36.722,33.0925,2.3979
81,2.43,2.4,2.84816,-0.639912 -17.5358 0,0,0,0.0524173,1.89648,0.50395,0.622839,0.0575644,1.14281,0.899335,11.2405,0,0.0248514,36.8598,33.2735,2.40466
82,2.46,2.43,2.961,-0.643602 -17.677 0,0,0,0.0528667,1.9208,0.50739,0.625098,0.0574171,1.14304,0.904214,11.2575,0,0.0229719,37.0003,33.4384,2.41132
83,2.49,2.46,3.07278,-0.647387 -17.8202 0,0,0,0.0532692,1.94557,0.510758,0.627245,0.057262,1.14313,0.908805,11.2753,0,0.0208237,37.1515,33.5941,2.41849
84,2.52,2.49,3.18354,-0.651319 -17.9651 0,0,0,0.0536288,1.97106,0.514049,0.62929,0.0570961,1.14315,0.913165,11.2918,0,0.0186367,37.3121,33.747,2.42579
85,2.55,2.52,3.29339,-0.655419 -18.1115 0,0,0,0.0539499,1.99762,0.517256,0.631238,0.0569188,1.14308,0.917391,11.306,0,0.0166178,37.4703,33.9007,2.43316
